3,0.9376
4,0.8602
5,0.7796
6,0.7168
7,0.6566
8,0.6242
9,0.5518
10,0.532
20,0.348
30,0.242
40,0.193
50,0.14
60,0.136
70,0.097
80,0.104
90,0.089
100,0.069
200,0.042
300,0.035
400,0.031
500,0.013
600,0.018
700,0.012
800,0.017
900,0.015
1000,0.006772009029345372
2000,0.003
3000,0.004
4000,0.002
5000,0.002
6000,0.001
7000,0.002
8000,0.0
9000,0.0
